k,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,100104.57868469981,0.3495011618890732,176.50285318283127,1.3356351724594737
3,82621.37011700218,0.28879789426268626,172.56394259047437,1.412025021666546
4,70353.61665330276,0.21287346361715026,170.98087918289315,1.4357976718906982
5,64341.85588065338,0.203030529736137,154.4739000597042,1.3826449928024949
6,60210.736604304635,0.20632779489630157,140.3390538215131,1.4180128293432614
7,56628.18436313677,0.20646132333432587,130.66329726849588,1.4174638923167582
8,53455.43465386606,0.18847497889543516,123.68407295022578,1.475681099667733
9,50858.7623833368,0.19967099370594538,117.49607920338521,1.312254786687833
10,48488.058708510405,0.1853701330454028,112.71049430596821,1.4649164375327588
11,45595.36870477004,0.19099712230584334,111.59500060664074,1.346979101071353
12,43746.53635525459,0.1994072075772051,107.9204738463912,1.2897285474896554
13,42600.64209088953,0.19768460473387026,102.79419546762098,1.391689528053844
14,40800.17251113604,0.2071847000593256,100.9863886072679,1.4027394067484356
15,39409.16088480302,0.2070432762077272,98.46198504488164,1.4305847262880553
