index,name,category,description,source
0,color_hist_R_bin0,Color Histogram,Rチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
1,color_hist_R_bin1,Color Histogram,Rチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
2,color_hist_R_bin2,Color Histogram,Rチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
3,color_hist_R_bin3,Color Histogram,Rチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
4,color_hist_R_bin4,Color Histogram,Rチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
5,color_hist_R_bin5,Color Histogram,Rチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
6,color_hist_R_bin6,Color Histogram,Rチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
7,color_hist_R_bin7,Color Histogram,Rチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
8,color_hist_R_bin8,Color Histogram,Rチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
9,color_hist_R_bin9,Color Histogram,Rチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
10,color_hist_R_bin10,Color Histogram,Rチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
11,color_hist_R_bin11,Color Histogram,Rチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
12,color_hist_R_bin12,Color Histogram,Rチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
13,color_hist_R_bin13,Color Histogram,Rチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
14,color_hist_R_bin14,Color Histogram,Rチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
15,color_hist_R_bin15,Color Histogram,Rチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
16,color_hist_G_bin0,Color Histogram,Gチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
17,color_hist_G_bin1,Color Histogram,Gチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
18,color_hist_G_bin2,Color Histogram,Gチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
19,color_hist_G_bin3,Color Histogram,Gチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
20,color_hist_G_bin4,Color Histogram,Gチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
21,color_hist_G_bin5,Color Histogram,Gチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
22,color_hist_G_bin6,Color Histogram,Gチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
23,color_hist_G_bin7,Color Histogram,Gチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
24,color_hist_G_bin8,Color Histogram,Gチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
25,color_hist_G_bin9,Color Histogram,Gチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
26,color_hist_G_bin10,Color Histogram,Gチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
27,color_hist_G_bin11,Color Histogram,Gチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
28,color_hist_G_bin12,Color Histogram,Gチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
29,color_hist_G_bin13,Color Histogram,Gチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
30,color_hist_G_bin14,Color Histogram,Gチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
31,color_hist_G_bin15,Color Histogram,Gチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
32,color_hist_B_bin0,Color Histogram,Bチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
33,color_hist_B_bin1,Color Histogram,Bチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
34,color_hist_B_bin2,Color Histogram,Bチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
35,color_hist_B_bin3,Color Histogram,Bチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
36,color_hist_B_bin4,Color Histogram,Bチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
37,color_hist_B_bin5,Color Histogram,Bチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
38,color_hist_B_bin6,Color Histogram,Bチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
39,color_hist_B_bin7,Color Histogram,Bチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
40,color_hist_B_bin8,Color Histogram,Bチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
41,color_hist_B_bin9,Color Histogram,Bチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
42,color_hist_B_bin10,Color Histogram,Bチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
43,color_hist_B_bin11,Color Histogram,Bチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
44,color_hist_B_bin12,Color Histogram,Bチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
45,color_hist_B_bin13,Color Histogram,Bチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
46,color_hist_B_bin14,Color Histogram,Bチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
47,color_hist_B_bin15,Color Histogram,Bチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
48,hsv_hist_H_bin0,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 0）,OpenCV calcHist
49,hsv_hist_H_bin1,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 1）,OpenCV calcHist
50,hsv_hist_H_bin2,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 2）,OpenCV calcHist
51,hsv_hist_H_bin3,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 3）,OpenCV calcHist
52,hsv_hist_H_bin4,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 4）,OpenCV calcHist
53,hsv_hist_H_bin5,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 5）,OpenCV calcHist
54,hsv_hist_H_bin6,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 6）,OpenCV calcHist
55,hsv_hist_H_bin7,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 7）,OpenCV calcHist
56,hsv_hist_H_bin8,HSV Histogram,HueチャンネルのHSVヒストグラム（bin 8）,OpenCV calcHist
