index,name,category,temporal_stat,description,source
0,mean_color_hist_R_bin0,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
1,mean_color_hist_R_bin1,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
2,mean_color_hist_R_bin2,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
3,mean_color_hist_R_bin3,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
4,mean_color_hist_R_bin4,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
5,mean_color_hist_R_bin5,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
6,mean_color_hist_R_bin6,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
7,mean_color_hist_R_bin7,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
8,mean_color_hist_R_bin8,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
9,mean_color_hist_R_bin9,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
10,mean_color_hist_R_bin10,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
11,mean_color_hist_R_bin11,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
12,mean_color_hist_R_bin12,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
13,mean_color_hist_R_bin13,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
14,mean_color_hist_R_bin14,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
15,mean_color_hist_R_bin15,Color Histogram,フレーム平均,フレーム平均: Rチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
16,mean_color_hist_G_bin0,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
17,mean_color_hist_G_bin1,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
18,mean_color_hist_G_bin2,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
19,mean_color_hist_G_bin3,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
20,mean_color_hist_G_bin4,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
21,mean_color_hist_G_bin5,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
22,mean_color_hist_G_bin6,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
23,mean_color_hist_G_bin7,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
24,mean_color_hist_G_bin8,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
25,mean_color_hist_G_bin9,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
26,mean_color_hist_G_bin10,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
27,mean_color_hist_G_bin11,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
28,mean_color_hist_G_bin12,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
29,mean_color_hist_G_bin13,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 13）,OpenCV calcHist
30,mean_color_hist_G_bin14,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 14）,OpenCV calcHist
31,mean_color_hist_G_bin15,Color Histogram,フレーム平均,フレーム平均: Gチャンネルの色ヒストグラム（bin 15）,OpenCV calcHist
32,mean_color_hist_B_bin0,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 0）,OpenCV calcHist
33,mean_color_hist_B_bin1,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 1）,OpenCV calcHist
34,mean_color_hist_B_bin2,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 2）,OpenCV calcHist
35,mean_color_hist_B_bin3,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 3）,OpenCV calcHist
36,mean_color_hist_B_bin4,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 4）,OpenCV calcHist
37,mean_color_hist_B_bin5,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 5）,OpenCV calcHist
38,mean_color_hist_B_bin6,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 6）,OpenCV calcHist
39,mean_color_hist_B_bin7,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 7）,OpenCV calcHist
40,mean_color_hist_B_bin8,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 8）,OpenCV calcHist
41,mean_color_hist_B_bin9,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 9）,OpenCV calcHist
42,mean_color_hist_B_bin10,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 10）,OpenCV calcHist
43,mean_color_hist_B_bin11,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 11）,OpenCV calcHist
44,mean_color_hist_B_bin12,Color Histogram,フレーム平均,フレーム平均: Bチャンネルの色ヒストグラム（bin 12）,OpenCV calcHist
